fault_text1,fault_text2,semantic_similarity
传感器无输出信号，接线端子接触不良,继电器误动作，无输入信号时触点自行闭合,0.06
变频器过流跳闸，输出电流超额定30%,离心泵空转异响，进口阀门未打开导致气蚀,0.06
变频器过流跳闸，输出电流超额定30%,PLC断电记忆丢失，参数恢复至出厂默认值,0.18
变频器散热风扇故障，散热片温度达75℃,变频器参数紊乱，加速时间被异常修改,0.51
继电器吸合不良，线圈电压正常但触点未闭合,继电器触点烧蚀，接触电阻增大至5Ω,0.92
变频器频率漂移，设定50Hz实际输出45Hz,变频器过压报警，直流母线电压达800V,0.85
电机连续运行8小时后出现异响，振动值超额定20%,电机过载停机，故障代码E012，需重启复位,0.4
PLC程序报错，梯形图逻辑错误导致误动作,PLC通讯故障，与变频器的Modbus连接中断,0.59
传感器量程超限，显示值固定为最大值,传感器抗干扰差，受电磁干扰出现跳变,0.46
离心泵轴承发热，温度达75℃,离心泵空转异响，进口阀门未打开导致气蚀,0.42
轴承润滑脂干涸，出现干摩擦异响,轴承磨损异响，运转时出现周期性异音,0.52
轴承润滑脂干涸，出现干摩擦异响,PLC信号丢失，传感器反馈数据无更新,0.02
变频器频率漂移，设定50Hz实际输出45Hz,继电器接触不良，信号传输时断时续,0.16
电机连续运行8小时后出现异响，振动值超额定20%,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.99
电机负载达额定120%时出现过热，绕组温度升至105℃,电机连续运行8小时后出现异响，振动值超额定20%,0.84
继电器误动作，无输入信号时触点自行闭合,继电器吸合不良，线圈电压正常但触点未闭合,0.93
传感器响应延迟，信号滞后2秒,传感器响应延迟，信号滞后2秒,0.42
轴承润滑脂干涸，出现干摩擦异响,轴承间隙过大，径向游隙超0.15mm,0.96
传感器量程超限，显示值固定为最大值,传感器量程超限，显示值固定为最大值,0.44
轴承温升过高，连续运行2小时后温度达80℃,轴承磨损异响，运转时出现周期性异音,0.83
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机连续运行8小时后出现异响，振动值超额定20%,0.62
液压缸缓冲装置失效，行程末端冲击过大,离心泵空转异响，进口阀门未打开导致气蚀,0.05
继电器接触不良，信号传输时断时续,继电器线圈烧毁，电阻值无穷大,0.89
传感器抗干扰差，受电磁干扰出现跳变,传感器无输出信号，接线端子接触不良,0.89
变频器过流跳闸，输出电流超额定30%,电机连续运行8小时后出现异响，振动值超额定20%,0.15
变频器过压报警，直流母线电压达800V,变频器参数紊乱，加速时间被异常修改,0.82
继电器接触不良，信号传输时断时续,PLC通讯故障，与变频器的Modbus连接中断,0.02
PLC程序报错，梯形图逻辑错误导致误动作,液压缸活塞杆变形，伸出时出现偏斜,0.27
轴承温升过高，连续运行2小时后温度达80℃,轴承滚珠破损，振动频谱出现冲击峰值,0.96
离心泵空转异响，进口阀门未打开导致气蚀,离心泵叶轮磨损，流量下降至额定70%,0.63
继电器触点烧蚀，接触电阻增大至5Ω,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.06
PLC断电记忆丢失，参数恢复至出厂默认值,PLC程序报错，梯形图逻辑错误导致误动作,0.82
电机负载达额定120%时出现过热，绕组温度升至105℃,电机负载达额定120%时出现过热，绕组温度升至105℃,0.64
离心泵密封泄漏，机械密封端面磨损,轴承间隙过大，径向游隙超0.15mm,0.3
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.42
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.51
轴承间隙过大，径向游隙超0.15mm,电机过载停机，故障代码E012，需重启复位,0.04
PLC输入输出点I0.2损坏，无信号输入,PLC信号丢失，传感器反馈数据无更新,0.47
PLC通讯故障，与变频器的Modbus连接中断,PLC输入输出点I0.2损坏，无信号输入,0.46
继电器误动作，无输入信号时触点自行闭合,继电器线圈烧毁，电阻值无穷大,1.0
变频器过流跳闸，输出电流超额定30%,变频器过流跳闸，输出电流超额定30%,0.56
电机轴承润滑不足导致转速异常，输出转速波动±5%,继电器吸合不良，线圈电压正常但触点未闭合,0.04
轴承润滑脂干涸，出现干摩擦异响,轴承间隙过大，径向游隙超0.15mm,0.97
变频器频率漂移，设定50Hz实际输出45Hz,变频器过流跳闸，输出电流超额定30%,0.84
液压缸动作卡顿，换向时出现滞涩现象,液压缸动作卡顿，换向时出现滞涩现象,0.49
轴承磨损异响，运转时出现周期性异音,轴承间隙过大，径向游隙超0.15mm,0.98
轴承滚珠破损，振动频谱出现冲击峰值,轴承磨损异响，运转时出现周期性异音,0.49
液压缸压力不足，工作压力仅达额定60%,PLC信号丢失，传感器反馈数据无更新,0.26
PLC信号丢失，传感器反馈数据无更新,PLC输入输出点I0.2损坏，无信号输入,0.65
PLC信号丢失，传感器反馈数据无更新,PLC程序报错，梯形图逻辑错误导致误动作,0.57
电机连续运行8小时后出现异响，振动值超额定20%,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.55
液压缸缓冲装置失效，行程末端冲击过大,液压缸缓冲装置失效，行程末端冲击过大,0.6
液压缸活塞杆变形，伸出时出现偏斜,液压缸压力不足，工作压力仅达额定60%,0.87
轴承温升过高，连续运行2小时后温度达80℃,轴承间隙过大，径向游隙超0.15mm,0.91
传感器数值漂移，测量值比实际值高10%,离心泵密封泄漏，机械密封端面磨损,0.05
传感器数值漂移，测量值比实际值高10%,传感器响应延迟，信号滞后2秒,0.96
电机轴承润滑不足导致转速异常，输出转速波动±5%,轴承滚珠破损，振动频谱出现冲击峰值,0.06
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,离心泵轴承发热，温度达75℃,0.2
变频器散热风扇故障，散热片温度达75℃,变频器过压报警，直流母线电压达800V,0.55
继电器线圈烧毁，电阻值无穷大,继电器触点烧蚀，接触电阻增大至5Ω,0.61
变频器参数紊乱，加速时间被异常修改,PLC通讯故障，与变频器的Modbus连接中断,0.04
电机过载停机，故障代码E012，需重启复位,电机负载达额定120%时出现过热，绕组温度升至105℃,0.57
变频器过流跳闸，输出电流超额定30%,变频器频率漂移，设定50Hz实际输出45Hz,0.66
变频器参数紊乱，加速时间被异常修改,变频器参数紊乱，加速时间被异常修改,0.51
继电器误动作，无输入信号时触点自行闭合,继电器误动作，无输入信号时触点自行闭合,0.47
PLC输入输出点I0.2损坏，无信号输入,PLC通讯故障，与变频器的Modbus连接中断,0.83
离心泵密封泄漏，机械密封端面磨损,离心泵轴承发热，温度达75℃,0.95
变频器过压报警，直流母线电压达800V,变频器频率漂移，设定50Hz实际输出45Hz,0.48
PLC通讯故障，与变频器的Modbus连接中断,PLC程序报错，梯形图逻辑错误导致误动作,0.88
液压缸缓冲装置失效，行程末端冲击过大,电机过载停机，故障代码E012，需重启复位,0.1
变频器频率漂移，设定50Hz实际输出45Hz,变频器频率漂移，设定50Hz实际输出45Hz,0.65
继电器吸合不良，线圈电压正常但触点未闭合,继电器线圈烧毁，电阻值无穷大,0.95
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机连续运行8小时后出现异响，振动值超额定20%,0.93
继电器触点烧蚀，接触电阻增大至5Ω,继电器接触不良，信号传输时断时续,0.96
PLC通讯故障，与变频器的Modbus连接中断,PLC信号丢失，传感器反馈数据无更新,0.44
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸缓冲装置失效，行程末端冲击过大,0.81
PLC通讯故障，与变频器的Modbus连接中断,电机过载停机，故障代码E012，需重启复位,0.09
液压缸压力不足，工作压力仅达额定60%,液压缸缓冲装置失效，行程末端冲击过大,0.66
继电器线圈烧毁，电阻值无穷大,继电器误动作，无输入信号时触点自行闭合,0.58
传感器量程超限，显示值固定为最大值,传感器无输出信号，接线端子接触不良,0.48
继电器触点烧蚀，接触电阻增大至5Ω,PLC程序报错，梯形图逻辑错误导致误动作,0.22
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.92
PLC程序报错，梯形图逻辑错误导致误动作,PLC通讯故障，与变频器的Modbus连接中断,0.52
变频器过流跳闸，输出电流超额定30%,变频器过流跳闸，输出电流超额定30%,0.59
PLC输入输出点I0.2损坏，无信号输入,PLC通讯故障，与变频器的Modbus连接中断,0.65
传感器抗干扰差，受电磁干扰出现跳变,电机连续运行8小时后出现异响，振动值超额定20%,0.08
PLC输入输出点I0.2损坏，无信号输入,PLC输入输出点I0.2损坏，无信号输入,0.41
PLC程序报错，梯形图逻辑错误导致误动作,PLC输入输出点I0.2损坏，无信号输入,0.86
液压缸动作卡顿，换向时出现滞涩现象,液压缸压力不足，工作压力仅达额定60%,0.69
液压缸活塞杆变形，伸出时出现偏斜,液压缸动作卡顿，换向时出现滞涩现象,0.98
轴承间隙过大，径向游隙超0.15mm,轴承磨损异响，运转时出现周期性异音,0.83
传感器抗干扰差，受电磁干扰出现跳变,PLC程序报错，梯形图逻辑错误导致误动作,0.19
离心泵轴承发热，温度达75℃,离心泵空转异响，进口阀门未打开导致气蚀,0.6
变频器频率漂移，设定50Hz实际输出45Hz,变频器参数紊乱，加速时间被异常修改,0.83
电机过载停机，故障代码E012，需重启复位,电机连续运行8小时后出现异响，振动值超额定20%,0.56
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机连续运行8小时后出现异响，振动值超额定20%,0.42
离心泵空转异响，进口阀门未打开导致气蚀,离心泵轴承发热，温度达75℃,0.94
液压缸活塞杆变形，伸出时出现偏斜,液压缸动作卡顿，换向时出现滞涩现象,0.5
离心泵流量不足，出口管路堵塞,离心泵流量不足，出口管路堵塞,0.58
离心泵密封泄漏，机械密封端面磨损,离心泵轴承发热，温度达75℃,0.9
离心泵密封泄漏，机械密封端面磨损,离心泵叶轮磨损，流量下降至额定70%,0.7
离心泵轴承发热，温度达75℃,离心泵叶轮磨损，流量下降至额定70%,0.84
PLC输入输出点I0.2损坏，无信号输入,PLC信号丢失，传感器反馈数据无更新,0.69
PLC程序报错，梯形图逻辑错误导致误动作,PLC输入输出点I0.2损坏，无信号输入,0.9
轴承润滑脂干涸，出现干摩擦异响,轴承润滑脂干涸，出现干摩擦异响,0.52
轴承润滑脂干涸，出现干摩擦异响,轴承滚珠破损，振动频谱出现冲击峰值,0.53
传感器数值漂移，测量值比实际值高10%,传感器量程超限，显示值固定为最大值,0.82
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸缓冲装置失效，行程末端冲击过大,0.87
轴承润滑脂干涸，出现干摩擦异响,轴承滚珠破损，振动频谱出现冲击峰值,0.95
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.84
变频器过压报警，直流母线电压达800V,变频器频率漂移，设定50Hz实际输出45Hz,0.94
继电器吸合不良，线圈电压正常但触点未闭合,继电器接触不良，信号传输时断时续,0.46
液压缸动作卡顿，换向时出现滞涩现象,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.88
继电器误动作，无输入信号时触点自行闭合,继电器触点烧蚀，接触电阻增大至5Ω,0.59
继电器触点烧蚀，接触电阻增大至5Ω,继电器接触不良，信号传输时断时续,0.82
电机负载达额定120%时出现过热，绕组温度升至105℃,电机过载停机，故障代码E012，需重启复位,0.53
离心泵流量不足，出口管路堵塞,液压缸压力不足，工作压力仅达额定60%,0.27
液压缸压力不足，工作压力仅达额定60%,继电器线圈烧毁，电阻值无穷大,0.16
轴承磨损异响，运转时出现周期性异音,轴承间隙过大，径向游隙超0.15mm,0.96
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机负载达额定120%时出现过热，绕组温度升至105℃,0.62
传感器抗干扰差，受电磁干扰出现跳变,传感器响应延迟，信号滞后2秒,0.87
PLC输入输出点I0.2损坏，无信号输入,PLC断电记忆丢失，参数恢复至出厂默认值,0.85
电机负载达额定120%时出现过热，绕组温度升至105℃,电机连续运行8小时后出现异响，振动值超额定20%,0.55
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机连续运行8小时后出现异响，振动值超额定20%,0.86
电机连续运行8小时后出现异响，振动值超额定20%,继电器误动作，无输入信号时触点自行闭合,0.16
PLC信号丢失，传感器反馈数据无更新,PLC通讯故障，与变频器的Modbus连接中断,0.68
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机连续运行8小时后出现异响，振动值超额定20%,0.82
液压缸压力不足，工作压力仅达额定60%,液压缸活塞杆变形，伸出时出现偏斜,0.52
离心泵流量不足，出口管路堵塞,离心泵流量不足，出口管路堵塞,0.68
PLC程序报错，梯形图逻辑错误导致误动作,PLC输入输出点I0.2损坏，无信号输入,0.95
变频器过压报警，直流母线电压达800V,变频器参数紊乱，加速时间被异常修改,0.97
传感器响应延迟，信号滞后2秒,电机负载达额定120%时出现过热，绕组温度升至105℃,0.3
液压缸压力不足，工作压力仅达额定60%,液压缸缓冲装置失效，行程末端冲击过大,0.89
电机负载达额定120%时出现过热，绕组温度升至105℃,继电器触点烧蚀，接触电阻增大至5Ω,0.22
电机连续运行8小时后出现异响，振动值超额定20%,电机负载达额定120%时出现过热，绕组温度升至105℃,0.86
继电器接触不良，信号传输时断时续,继电器触点烧蚀，接触电阻增大至5Ω,0.85
继电器误动作，无输入信号时触点自行闭合,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.04
离心泵密封泄漏，机械密封端面磨损,离心泵轴承发热，温度达75℃,0.54
继电器吸合不良，线圈电压正常但触点未闭合,继电器触点烧蚀，接触电阻增大至5Ω,0.54
液压缸活塞杆变形，伸出时出现偏斜,液压缸活塞杆变形，伸出时出现偏斜,0.52
液压缸缓冲装置失效，行程末端冲击过大,液压缸活塞杆变形，伸出时出现偏斜,0.84
变频器过压报警，直流母线电压达800V,变频器过压报警，直流母线电压达800V,0.43
轴承间隙过大，径向游隙超0.15mm,轴承润滑脂干涸，出现干摩擦异响,0.9
PLC程序报错，梯形图逻辑错误导致误动作,PLC断电记忆丢失，参数恢复至出厂默认值,0.69
液压缸活塞杆变形，伸出时出现偏斜,液压缸动作卡顿，换向时出现滞涩现象,0.43
继电器吸合不良，线圈电压正常但触点未闭合,继电器接触不良，信号传输时断时续,0.81
继电器接触不良，信号传输时断时续,继电器误动作，无输入信号时触点自行闭合,0.67
电机负载达额定120%时出现过热，绕组温度升至105℃,电机连续运行8小时后出现异响，振动值超额定20%,0.57
PLC断电记忆丢失，参数恢复至出厂默认值,PLC信号丢失，传感器反馈数据无更新,0.97
离心泵密封泄漏，机械密封端面磨损,离心泵空转异响，进口阀门未打开导致气蚀,0.44
PLC输入输出点I0.2损坏，无信号输入,变频器散热风扇故障，散热片温度达75℃,0.15
轴承磨损异响，运转时出现周期性异音,轴承间隙过大，径向游隙超0.15mm,0.46
电机过载停机，故障代码E012，需重启复位,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.81
液压缸压力不足，工作压力仅达额定60%,离心泵流量不足，出口管路堵塞,0.29
传感器量程超限，显示值固定为最大值,传感器数值漂移，测量值比实际值高10%,0.43
变频器频率漂移，设定50Hz实际输出45Hz,变频器过压报警，直流母线电压达800V,0.48
变频器过流跳闸，输出电流超额定30%,变频器散热风扇故障，散热片温度达75℃,0.69
轴承滚珠破损，振动频谱出现冲击峰值,轴承润滑脂干涸，出现干摩擦异响,0.87
PLC程序报错，梯形图逻辑错误导致误动作,PLC信号丢失，传感器反馈数据无更新,0.61
离心泵叶轮磨损，流量下降至额定70%,PLC信号丢失，传感器反馈数据无更新,0.12
PLC程序报错，梯形图逻辑错误导致误动作,PLC信号丢失，传感器反馈数据无更新,0.86
变频器散热风扇故障，散热片温度达75℃,传感器量程超限，显示值固定为最大值,0.19
变频器参数紊乱，加速时间被异常修改,离心泵轴承发热，温度达75℃,0.15
继电器接触不良，信号传输时断时续,继电器误动作，无输入信号时触点自行闭合,0.83
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.46
继电器接触不良，信号传输时断时续,继电器线圈烧毁，电阻值无穷大,0.69
液压缸压力不足，工作压力仅达额定60%,液压缸缓冲装置失效，行程末端冲击过大,0.63
继电器触点烧蚀，接触电阻增大至5Ω,继电器误动作，无输入信号时触点自行闭合,0.51
轴承滚珠破损，振动频谱出现冲击峰值,轴承润滑脂干涸，出现干摩擦异响,0.54
离心泵空转异响，进口阀门未打开导致气蚀,离心泵轴承发热，温度达75℃,0.84
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸缓冲装置失效，行程末端冲击过大,0.68
继电器接触不良，信号传输时断时续,继电器线圈烧毁，电阻值无穷大,0.53
轴承磨损异响，运转时出现周期性异音,轴承润滑脂干涸，出现干摩擦异响,0.42
液压缸密封件损坏导致漏油，每小时泄漏5ml,PLC信号丢失，传感器反馈数据无更新,0.2
离心泵叶轮磨损，流量下降至额定70%,离心泵流量不足，出口管路堵塞,0.42
离心泵密封泄漏，机械密封端面磨损,离心泵空转异响，进口阀门未打开导致气蚀,0.63
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.51
传感器量程超限，显示值固定为最大值,传感器无输出信号，接线端子接触不良,0.42
离心泵叶轮磨损，流量下降至额定70%,液压缸缓冲装置失效，行程末端冲击过大,0.08
轴承温升过高，连续运行2小时后温度达80℃,轴承磨损异响，运转时出现周期性异音,0.65
电机负载达额定120%时出现过热，绕组温度升至105℃,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.99
液压缸压力不足，工作压力仅达额定60%,PLC程序报错，梯形图逻辑错误导致误动作,0.14
电机连续运行8小时后出现异响，振动值超额定20%,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.68
电机负载达额定120%时出现过热，绕组温度升至105℃,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.66
继电器线圈烧毁，电阻值无穷大,继电器误动作，无输入信号时触点自行闭合,0.88
变频器参数紊乱，加速时间被异常修改,变频器过流跳闸，输出电流超额定30%,0.95
继电器误动作，无输入信号时触点自行闭合,继电器触点烧蚀，接触电阻增大至5Ω,0.96
变频器频率漂移，设定50Hz实际输出45Hz,变频器参数紊乱，加速时间被异常修改,0.91
PLC断电记忆丢失，参数恢复至出厂默认值,PLC信号丢失，传感器反馈数据无更新,0.57
变频器频率漂移，设定50Hz实际输出45Hz,变频器参数紊乱，加速时间被异常修改,0.68
传感器数值漂移，测量值比实际值高10%,传感器无输出信号，接线端子接触不良,0.5
变频器散热风扇故障，散热片温度达75℃,变频器频率漂移，设定50Hz实际输出45Hz,0.88
继电器接触不良，信号传输时断时续,轴承滚珠破损，振动频谱出现冲击峰值,0.15
轴承温升过高，连续运行2小时后温度达80℃,轴承润滑脂干涸，出现干摩擦异响,0.61
电机负载达额定120%时出现过热，绕组温度升至105℃,液压缸压力不足，工作压力仅达额定60%,0.21
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机负载达额定120%时出现过热，绕组温度升至105℃,0.5
PLC程序报错，梯形图逻辑错误导致误动作,PLC输入输出点I0.2损坏，无信号输入,0.49
液压缸压力不足，工作压力仅达额定60%,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.45
PLC信号丢失，传感器反馈数据无更新,PLC输入输出点I0.2损坏，无信号输入,0.48
轴承滚珠破损，振动频谱出现冲击峰值,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.28
液压缸缓冲装置失效，行程末端冲击过大,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.41
离心泵流量不足，出口管路堵塞,离心泵流量不足，出口管路堵塞,0.65
变频器频率漂移，设定50Hz实际输出45Hz,变频器过流跳闸，输出电流超额定30%,0.43
PLC通讯故障，与变频器的Modbus连接中断,PLC程序报错，梯形图逻辑错误导致误动作,0.42
PLC程序报错，梯形图逻辑错误导致误动作,PLC程序报错，梯形图逻辑错误导致误动作,0.43
变频器散热风扇故障，散热片温度达75℃,变频器过流跳闸，输出电流超额定30%,0.53
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机负载达额定120%时出现过热，绕组温度升至105℃,0.7
继电器线圈烧毁，电阻值无穷大,PLC通讯故障，与变频器的Modbus连接中断,0.09
电机过载停机，故障代码E012，需重启复位,电机负载达额定120%时出现过热，绕组温度升至105℃,0.66
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机负载达额定120%时出现过热，绕组温度升至105℃,0.67
液压缸缓冲装置失效，行程末端冲击过大,PLC信号丢失，传感器反馈数据无更新,0.14
离心泵空转异响，进口阀门未打开导致气蚀,离心泵流量不足，出口管路堵塞,0.95
继电器接触不良，信号传输时断时续,PLC通讯故障，与变频器的Modbus连接中断,0.15
电机连续运行8小时后出现异响，振动值超额定20%,电机负载达额定120%时出现过热，绕组温度升至105℃,0.67
传感器量程超限，显示值固定为最大值,传感器量程超限，显示值固定为最大值,0.66
继电器接触不良，信号传输时断时续,继电器线圈烧毁，电阻值无穷大,0.81
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机过载停机，故障代码E012，需重启复位,0.88
继电器接触不良，信号传输时断时续,继电器触点烧蚀，接触电阻增大至5Ω,0.89
离心泵叶轮磨损，流量下降至额定70%,离心泵流量不足，出口管路堵塞,0.45
电机负载达额定120%时出现过热，绕组温度升至105℃,电机连续运行8小时后出现异响，振动值超额定20%,0.56
传感器无输出信号，接线端子接触不良,传感器响应延迟，信号滞后2秒,0.58
液压缸压力不足，工作压力仅达额定60%,液压缸动作卡顿，换向时出现滞涩现象,0.92
变频器散热风扇故障，散热片温度达75℃,变频器过流跳闸，输出电流超额定30%,0.55
轴承润滑脂干涸，出现干摩擦异响,轴承磨损异响，运转时出现周期性异音,0.66
继电器吸合不良，线圈电压正常但触点未闭合,继电器接触不良，信号传输时断时续,0.84
离心泵密封泄漏，机械密封端面磨损,离心泵叶轮磨损，流量下降至额定70%,0.94
变频器过压报警，直流母线电压达800V,变频器频率漂移，设定50Hz实际输出45Hz,0.63
轴承间隙过大，径向游隙超0.15mm,轴承滚珠破损，振动频谱出现冲击峰值,0.55
液压缸动作卡顿，换向时出现滞涩现象,液压缸缓冲装置失效，行程末端冲击过大,0.92
传感器抗干扰差，受电磁干扰出现跳变,传感器数值漂移，测量值比实际值高10%,0.52
传感器响应延迟，信号滞后2秒,传感器无输出信号，接线端子接触不良,0.4
继电器误动作，无输入信号时触点自行闭合,继电器接触不良，信号传输时断时续,0.85
电机连续运行8小时后出现异响，振动值超额定20%,电机过载停机，故障代码E012，需重启复位,0.94
液压缸动作卡顿，换向时出现滞涩现象,液压缸缓冲装置失效，行程末端冲击过大,0.68
继电器线圈烧毁，电阻值无穷大,继电器触点烧蚀，接触电阻增大至5Ω,0.86
液压缸压力不足，工作压力仅达额定60%,液压缸动作卡顿，换向时出现滞涩现象,0.85
电机过载停机，故障代码E012，需重启复位,离心泵轴承发热，温度达75℃,0.04
PLC信号丢失，传感器反馈数据无更新,PLC通讯故障，与变频器的Modbus连接中断,0.81
继电器线圈烧毁，电阻值无穷大,继电器接触不良，信号传输时断时续,0.7
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸压力不足，工作压力仅达额定60%,0.95
轴承间隙过大，径向游隙超0.15mm,轴承磨损异响，运转时出现周期性异音,0.84
传感器响应延迟，信号滞后2秒,传感器量程超限，显示值固定为最大值,0.51
离心泵流量不足，出口管路堵塞,离心泵密封泄漏，机械密封端面磨损,0.41
离心泵空转异响，进口阀门未打开导致气蚀,离心泵轴承发热，温度达75℃,0.97
传感器抗干扰差，受电磁干扰出现跳变,传感器量程超限，显示值固定为最大值,0.82
离心泵密封泄漏，机械密封端面磨损,离心泵空转异响，进口阀门未打开导致气蚀,0.97
轴承温升过高，连续运行2小时后温度达80℃,轴承间隙过大，径向游隙超0.15mm,0.9
离心泵轴承发热，温度达75℃,离心泵叶轮磨损，流量下降至额定70%,0.45
PLC输入输出点I0.2损坏，无信号输入,PLC通讯故障，与变频器的Modbus连接中断,0.49
继电器接触不良，信号传输时断时续,继电器线圈烧毁，电阻值无穷大,0.93
PLC断电记忆丢失，参数恢复至出厂默认值,PLC输入输出点I0.2损坏，无信号输入,0.91
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.56
变频器过流跳闸，输出电流超额定30%,PLC断电记忆丢失，参数恢复至出厂默认值,0.18
传感器抗干扰差，受电磁干扰出现跳变,传感器抗干扰差，受电磁干扰出现跳变,0.4
轴承滚珠破损，振动频谱出现冲击峰值,离心泵空转异响，进口阀门未打开导致气蚀,0.1
传感器量程超限，显示值固定为最大值,传感器抗干扰差，受电磁干扰出现跳变,0.94
电机负载达额定120%时出现过热，绕组温度升至105℃,电机过载停机，故障代码E012，需重启复位,0.84
液压缸压力不足，工作压力仅达额定60%,液压缸压力不足，工作压力仅达额定60%,0.47
液压缸动作卡顿，换向时出现滞涩现象,液压缸密封件损坏导致漏油，每小时泄漏5ml,1.0
变频器过压报警，直流母线电压达800V,变频器参数紊乱，加速时间被异常修改,0.52
PLC通讯故障，与变频器的Modbus连接中断,PLC程序报错，梯形图逻辑错误导致误动作,0.99
液压缸动作卡顿，换向时出现滞涩现象,液压缸压力不足，工作压力仅达额定60%,0.5
离心泵叶轮磨损，流量下降至额定70%,传感器无输出信号，接线端子接触不良,0.03
继电器触点烧蚀，接触电阻增大至5Ω,继电器线圈烧毁，电阻值无穷大,0.82
离心泵空转异响，进口阀门未打开导致气蚀,离心泵空转异响，进口阀门未打开导致气蚀,0.47
液压缸压力不足，工作压力仅达额定60%,轴承滚珠破损，振动频谱出现冲击峰值,0.15
轴承间隙过大，径向游隙超0.15mm,轴承间隙过大，径向游隙超0.15mm,0.54
继电器误动作，无输入信号时触点自行闭合,继电器线圈烧毁，电阻值无穷大,0.81
轴承磨损异响，运转时出现周期性异音,轴承润滑脂干涸，出现干摩擦异响,0.43
PLC断电记忆丢失，参数恢复至出厂默认值,PLC输入输出点I0.2损坏，无信号输入,0.52
液压缸密封件损坏导致漏油，每小时泄漏5ml,PLC通讯故障，与变频器的Modbus连接中断,0.27
液压缸动作卡顿，换向时出现滞涩现象,液压缸活塞杆变形，伸出时出现偏斜,0.99
离心泵流量不足，出口管路堵塞,离心泵密封泄漏，机械密封端面磨损,0.48
液压缸压力不足，工作压力仅达额定60%,液压缸动作卡顿，换向时出现滞涩现象,0.57
变频器过流跳闸，输出电流超额定30%,变频器过流跳闸，输出电流超额定30%,0.64
继电器吸合不良，线圈电压正常但触点未闭合,轴承滚珠破损，振动频谱出现冲击峰值,0.19
轴承润滑脂干涸，出现干摩擦异响,PLC输入输出点I0.2损坏，无信号输入,0.11
电机轴承润滑不足导致转速异常，输出转速波动±5%,传感器抗干扰差，受电磁干扰出现跳变,0.25
PLC输入输出点I0.2损坏，无信号输入,PLC信号丢失，传感器反馈数据无更新,0.42
PLC程序报错，梯形图逻辑错误导致误动作,PLC程序报错，梯形图逻辑错误导致误动作,0.66
继电器吸合不良，线圈电压正常但触点未闭合,变频器过压报警，直流母线电压达800V,0.08
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机连续运行8小时后出现异响，振动值超额定20%,0.62
继电器线圈烧毁，电阻值无穷大,继电器吸合不良，线圈电压正常但触点未闭合,0.67
传感器响应延迟，信号滞后2秒,传感器量程超限，显示值固定为最大值,0.69
电机负载达额定120%时出现过热，绕组温度升至105℃,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.55
变频器过流跳闸，输出电流超额定30%,变频器频率漂移，设定50Hz实际输出45Hz,0.96
变频器散热风扇故障，散热片温度达75℃,变频器散热风扇故障，散热片温度达75℃,0.7
