fault_text1_clean,fault_text2_clean,semantic_similarity,data_source
PLC输入输出点I0 2损坏 无信号输入,PLC信号丢失 传感器反馈数据无更新,0.7,original
电机过载停机 故障代码E012 需重启复位,传感器无输出信号 接线端子接触不良,0.12,original
传感器无输出信号 接线端子接触不良,传感器抗干扰差 受电磁干扰出现跳变,0.51,original
PLC断电记忆丢失 参数恢复至出厂默认值,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.8,generated
电机负载达额定120 时出现过热 绕组温度升至105,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.55,original
离心泵叶轮磨损 流量下降至额定70,离心泵空转异响 进口阀门未打开导致气蚀,0.82,original
电机过载停机 故障代码E012 需重启复位,电流不稳时电机过载停机 故障代码E012 需重启复位,0.74,generated
离心泵密封泄漏 机械密封端面磨损,PLC信号丢失 传感器反馈数据无更新,0.6,generated
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸活塞杆变形 伸出时出现偏斜,0.88,original
离心泵叶轮磨损 流量下降至额定70,离心泵密封泄漏 机械密封端面磨损,0.7,original
传感器量程超限 显示值固定为最大值,传感器量程超限 显示值固定为最大值,0.77,generated
传感器数值漂移 测量值比实际值高10,传感器量程超限 显示值固定为最大值,0.65,original
PLC通讯故障 与变频器的Modbus连接中断,PLC断电记忆丢失 参数恢复至出厂默认值,0.9,original
继电器线圈烧毁 电阻值无穷大,继电器线圈烧毁 电阻值无穷大,0.47,original
离心泵密封泄漏 机械密封端面磨损,液压缸动作卡顿 换向时出现滞涩现象,0.22,original
变频器频率漂移 设定50Hz实际输出45Hz,电机轴承润滑不足导致转速异常 输出转速波动 5,0.24,original
液压缸压力不足 工作压力仅达额定60,液压缸缓冲装置失效 行程末端冲击过大,0.84,original
离心泵流量不足 出口管路堵塞,离心泵空转异响 进口阀门未打开导致气蚀,0.98,original
传感器抗干扰差 受电磁干扰出现跳变,传感器量程超限 显示值固定为最大值,0.96,original
变频器散热风扇故障 散热片温度达75,变频器散热风扇故障 散热片温度达75,0.7,original
继电器接触不良 信号传输时断时续,轴承滚珠破损 振动频谱出现冲击峰值,0.25,original
PLC输入输出点I0 2损坏 无信号输入,继电器接触不良 信号传输时断时续,0.22,original
液压缸动作卡顿 换向时出现滞涩现象,电机轴承润滑不足导致转速异常 输出转速波动 5,0.67,generated
传感器无输出信号 接线端子接触不良,传感器响应延迟 信号滞后2秒,0.91,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承滚珠破损 振动频谱出现冲击峰值,0.45,original
轴承润滑脂干涸 出现干摩擦异响,电机轴承润滑不足导致转速异常 输出转速波动 5,0.77,generated
离心泵轴承发热 温度达75,离心泵轴承发热 温度达75,0.74,generated
轴承间隙过大 径向游隙超0 15mm,传感器无输出信号 接线端子接触不良,0.16,original
PLC输入输出点I0 2损坏 无信号输入,PLC通讯故障 与变频器的Modbus连接中断,0.65,original
电机负载达额定120 时出现过热 绕组温度升至105,电机负载达额定120 时出现过热 绕组温度升至105,0.84,generated
轴承温升过高 连续运行2小时后温度达80,变频器频率漂移 设定50Hz实际输出45Hz,0.19,original
传感器量程超限 显示值固定为最大值,传感器响应延迟 信号滞后2秒,0.89,original
变频器过压报警 直流母线电压达800V,变频器过流跳闸 输出电流超额定30,0.41,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器参数紊乱 加速时间被异常修改,0.54,original
继电器线圈烧毁 电阻值无穷大,继电器吸合不良 线圈电压正常但触点未闭合,0.51,original
传感器响应延迟 信号滞后2秒,PLC信号丢失 传感器反馈数据无更新,0.02,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器参数紊乱 加速时间被异常修改,0.51,original
变频器过流跳闸 输出电流超额定30,变频器过流跳闸 输出电流超额定30,0.82,generated
传感器抗干扰差 受电磁干扰出现跳变,离心泵空转异响 进口阀门未打开导致气蚀,0.01,original
离心泵叶轮磨损 流量下降至额定70,离心泵轴承发热 温度达75,0.82,original
液压缸压力不足 工作压力仅达额定60,液压缸压力不足 工作压力仅达额定60,0.44,original
液压缸压力不足 工作压力仅达额定60,液压缸活塞杆变形 伸出时出现偏斜,0.82,original
传感器无输出信号 接线端子接触不良,传感器响应延迟 信号滞后2秒,0.58,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵空转异响 进口阀门未打开导致气蚀,0.63,original
液压缸压力不足 工作压力仅达额定60,液压缸缓冲装置失效 行程末端冲击过大,0.43,original
离心泵轴承发热 温度达75,PLC输入输出点I0 2损坏 无信号输入,0.14,generated
传感器响应延迟 信号滞后2秒,传感器量程超限 显示值固定为最大值,0.82,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器过压报警 直流母线电压达800V,0.8,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机负载达额定120 时出现过热 绕组温度升至105,0.42,original
轴承磨损异响 运转时出现周期性异音,轴承间隙过大 径向游隙超0 15mm,0.96,original
变频器散热风扇故障 散热片温度达75,PLC断电记忆丢失 参数恢复至出厂默认值,0.14,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸缓冲装置失效 行程末端冲击过大,0.93,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机轴承润滑不足导致转速异常 输出转速波动 5,0.48,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,离心泵流量不足 出口管路堵塞,0.03,original
离心泵密封泄漏 机械密封端面磨损,离心泵空转异响 进口阀门未打开导致气蚀,0.48,original
轴承润滑脂干涸 出现干摩擦异响,继电器接触不良 信号传输时断时续,0.81,generated
PLC信号丢失 传感器反馈数据无更新,变频器频率漂移 设定50Hz实际输出45Hz,0.23,generated
离心泵密封泄漏 机械密封端面磨损,离心泵空转异响 进口阀门未打开导致气蚀,0.44,original
轴承润滑脂干涸 出现干摩擦异响,轴承间隙过大 径向游隙超0 15mm,0.58,original
轴承磨损异响 运转时出现周期性异音,轴承温升过高 连续运行2小时后温度达80,0.59,original
PLC断电记忆丢失 参数恢复至出厂默认值,轴承间隙过大 径向游隙超0 15mm,0.34,generated
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.69,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机连续运行8小时后出现异响 振动值超额定20,0.41,original
传感器量程超限 显示值固定为最大值,传感器无输出信号 接线端子接触不良,0.57,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器频率漂移 设定50Hz实际输出45Hz,0.82,generated
PLC通讯故障 与变频器的Modbus连接中断,PLC通讯故障 与变频器的Modbus连接中断,0.9,generated
电机连续运行8小时后出现异响 振动值超额定20,湿度增大后电机连续运行8小时后出现异响 振动值超额定20,0.75,generated
电机连续运行8小时后出现异响 振动值超额定20,电机连续运行8小时后出现异响 突发性振动值超额定20,0.69,generated
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸活塞杆变形 伸出时出现偏斜,0.69,original
电机连续运行8小时后出现异响 振动值超额定20,电机连续运行8小时后出现异响 振动值超额定20,0.99,generated
轴承间隙过大 径向游隙超0 15mm,轴承温升过高 连续运行2小时后温度达80,0.83,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器频率漂移 设定50Hz实际输出45Hz,0.6,original
PLC通讯故障 与变频器的Modbus连接中断,PLC程序报错 梯形图逻辑错误导致误动作,0.83,original
变频器过压报警 直流母线电压达800V,变频器过压报警 持续性直流母线电压达800V,0.67,generated
继电器误动作 无输入信号时触点自行闭合,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.06,original
电机负载达额定120 时出现过热 绕组温度升至105,轴承间隙过大 径向游隙超0 15mm,0.11,original
继电器线圈烧毁 电阻值无穷大,周期性继电器线圈烧毁 电阻值无穷大,0.81,generated
继电器误动作 无输入信号时触点自行闭合,继电器吸合不良 线圈电压正常但触点未闭合,0.94,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸缓冲装置失效 行程末端冲击过大,0.99,original
轴承润滑脂干涸 出现干摩擦异响,PLC输入输出点I0 2损坏 无信号输入,0.11,original
轴承滚珠破损 振动频谱出现冲击峰值,PLC信号丢失 传感器反馈数据无更新,0.26,original
继电器触点烧蚀 接触电阻增大至5Ω,继电器误动作 无输入信号时触点自行闭合,0.59,original
PLC通讯故障 与变频器的Modbus连接中断,PLC通讯故障 与变频器的Modbus连接中断,0.96,generated
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机过载停机 故障代码E012 需重启复位,0.82,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机负载达额定120 时出现过热 绕组温度升至105,0.55,original
电机过载停机 故障代码E012 需重启复位,电机连续运行8小时后出现异响 振动值超额定20,0.56,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,轴承温升过高 连续运行2小时后温度达80,0.23,original
传感器抗干扰差 受电磁干扰出现跳变,持续性传感器抗干扰差 受电磁干扰出现跳变,0.74,generated
液压缸压力不足 工作压力仅达额定60,液压缸活塞杆变形 伸出时出现偏斜,0.64,original
变频器参数紊乱 加速时间被异常修改,变频器过流跳闸 输出电流超额定30,0.69,original
传感器抗干扰差 受电磁干扰出现跳变,传感器响应延迟 信号滞后2秒,0.63,original
电机连续运行8小时后出现异响 振动值超额定20,在启动时电机连续运行8小时后出现异响 振动值超额定20,0.74,generated
离心泵轴承发热 温度达75,离心泵轴承发热 在启动时温度达75,0.69,generated
变频器参数紊乱 加速时间被异常修改,离心泵密封泄漏 机械密封端面磨损,0.08,original
液压缸压力不足 工作压力仅达额定60,液压缸缓冲装置失效 行程末端冲击过大,0.82,original
PLC断电记忆丢失 参数恢复至出厂默认值,PLC程序报错 梯形图逻辑错误导致误动作,0.57,original
传感器量程超限 显示值固定为最大值,PLC输入输出点I0 2损坏 无信号输入,0.02,original
液压缸压力不足 工作压力仅达额定60,PLC信号丢失 传感器反馈数据无更新,0.26,original
变频器参数紊乱 加速时间被异常修改,变频器过流跳闸 输出电流超额定30,0.8,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.84,original
变频器过压报警 直流母线电压达800V,变频器过压报警 频繁直流母线电压达800V,0.89,generated
离心泵空转异响 进口阀门未打开导致气蚀,离心泵空转异响 在运行中进口阀门未打开导致气蚀,0.95,generated
PLC信号丢失 传感器反馈数据无更新,PLC通讯故障 与变频器的Modbus连接中断,0.55,original
传感器数值漂移 测量值比实际值高10,传感器响应延迟 信号滞后2秒,0.58,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸缓冲装置失效 行程末端冲击过大,0.54,original
变频器过流跳闸 输出电流超额定30,传感器数值漂移 测量值比实际值高10,0.25,original
电机负载达额定120 时出现过热 绕组温度升至105,变频器散热风扇故障 散热片温度达75,0.11,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机连续运行8小时后出现异响 振动值超额定20,0.51,original
PLC断电记忆丢失 参数恢复至出厂默认值,PLC输入输出点I0 2损坏 无信号输入,0.57,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸缓冲装置失效 行程末端冲击过大,0.54,original
PLC断电记忆丢失 参数恢复至出厂默认值,PLC通讯故障 与变频器的Modbus连接中断,0.69,original
电机负载达额定120 时出现过热 绕组温度升至105,传感器无输出信号 接线端子接触不良,0.63,generated
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机连续运行8小时后出现异响 振动值超额定20,0.63,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵流量不足 出口管路堵塞,0.85,original
传感器无输出信号 接线端子接触不良,继电器触点烧蚀 接触电阻增大至5Ω,0.58,generated
PLC断电记忆丢失 参数恢复至出厂默认值,PLC输入输出点I0 2损坏 无信号输入,0.87,original
PLC输入输出点I0 2损坏 无信号输入,PLC程序报错 梯形图逻辑错误导致误动作,0.58,original
变频器过流跳闸 输出电流超额定30,变频器过压报警 直流母线电压达800V,0.69,original
电机负载达额定120 时出现过热 绕组温度升至105,电机连续运行8小时后出现异响 振动值超额定20,0.66,original
PLC断电记忆丢失 参数恢复至出厂默认值,传感器数值漂移 测量值比实际值高10,0.1,original
传感器数值漂移 测量值比实际值高10,传感器量程超限 显示值固定为最大值,0.82,original
继电器线圈烧毁 电阻值无穷大,继电器触点烧蚀 接触电阻增大至5Ω,0.87,original
传感器数值漂移 测量值比实际值高10,传感器数值漂移 间歇性测量值比实际值高10,0.75,generated
继电器误动作 无输入信号时触点自行闭合,继电器触点烧蚀 接触电阻增大至5Ω,0.84,original
传感器抗干扰差 受电磁干扰出现跳变,变频器过压报警 直流母线电压达800V,0.27,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,突发性液压缸密封件损坏导致漏油 每小时泄漏5ml,0.72,generated
电机连续运行8小时后出现异响 振动值超额定20,电机连续运行8小时后出现异响 突发性振动值超额定20,0.61,generated
液压缸活塞杆变形 伸出时出现偏斜,液压缸缓冲装置失效 行程末端冲击过大,0.42,original
传感器量程超限 显示值固定为最大值,PLC通讯故障 与变频器的Modbus连接中断,0.21,generated
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,变频器过流跳闸 输出电流超额定30,0.28,original
PLC信号丢失 传感器反馈数据无更新,电机轴承润滑不足导致转速异常 输出转速波动 5,0.06,original
传感器量程超限 显示值固定为最大值,传感器数值漂移 测量值比实际值高10,0.53,original
继电器吸合不良 线圈电压正常但触点未闭合,传感器抗干扰差 受电磁干扰出现跳变,0.21,generated
轴承间隙过大 径向游隙超0 15mm,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.0,original
电机过载停机 故障代码E012 需重启复位,继电器触点烧蚀 接触电阻增大至5Ω,0.56,generated
液压缸缓冲装置失效 行程末端冲击过大,液压缸压力不足 工作压力仅达额定60,0.46,original
离心泵密封泄漏 机械密封端面磨损,离心泵流量不足 出口管路堵塞,0.88,original
轴承润滑脂干涸 出现干摩擦异响,轴承润滑脂干涸 在停机时出现干摩擦异响,0.75,generated
PLC断电记忆丢失 参数恢复至出厂默认值,PLC输入输出点I0 2损坏 无信号输入,0.98,original
继电器线圈烧毁 电阻值无穷大,继电器吸合不良 线圈电压正常但触点未闭合,0.89,original
变频器散热风扇故障 散热片温度达75,继电器线圈烧毁 电阻值无穷大,0.0,original
电机连续运行8小时后出现异响 振动值超额定20,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.82,original
继电器误动作 无输入信号时触点自行闭合,继电器误动作 无输入信号时触点自行闭合,0.47,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承磨损异响 运转时出现周期性异音,0.56,original
离心泵轴承发热 温度达75,电机负载达额定120 时出现过热 绕组温度升至105,0.28,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机连续运行8小时后出现异响 振动值超额定20,0.42,original
传感器抗干扰差 受电磁干扰出现跳变,传感器数值漂移 测量值比实际值高10,0.93,original
液压缸压力不足 工作压力仅达额定60,液压缸缓冲装置失效 行程末端冲击过大,0.56,original
继电器误动作 无输入信号时触点自行闭合,突发性继电器误动作 无输入信号时触点自行闭合,0.94,generated
电机连续运行8小时后出现异响 振动值超额定20,电机连续运行8小时后出现异响 振动值超额定20,0.61,original
离心泵流量不足 出口管路堵塞,离心泵流量不足 出口管路堵塞,0.76,generated
变频器频率漂移 设定50Hz实际输出45Hz,变频器过流跳闸 输出电流超额定30,0.89,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸缓冲装置失效 行程末端冲击过大,0.92,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸压力不足 工作压力仅达额定60,0.43,original
液压缸动作卡顿 换向时出现滞涩现象,离心泵叶轮磨损 流量下降至额定70,0.87,generated
传感器数值漂移 测量值比实际值高10,传感器数值漂移 温度升高后测量值比实际值高10,0.93,generated
变频器散热风扇故障 散热片温度达75,变频器参数紊乱 加速时间被异常修改,0.64,original
传感器数值漂移 测量值比实际值高10,传感器抗干扰差 受电磁干扰出现跳变,0.99,original
离心泵流量不足 出口管路堵塞,离心泵流量不足 出口管路堵塞,0.76,generated
继电器吸合不良 线圈电压正常但触点未闭合,继电器触点烧蚀 接触电阻增大至5Ω,0.81,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器参数紊乱 加速时间被异常修改,0.43,original
变频器频率漂移 设定50Hz实际输出45Hz,电机轴承润滑不足导致转速异常 输出转速波动 5,0.05,original
变频器散热风扇故障 散热片温度达75,变频器过流跳闸 输出电流超额定30,0.45,original
液压缸缓冲装置失效 行程末端冲击过大,液压缸活塞杆变形 伸出时出现偏斜,0.88,original
变频器散热风扇故障 散热片温度达75,变频器频率漂移 设定50Hz实际输出45Hz,0.43,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器散热风扇故障 散热片温度达75,0.92,original
液压缸压力不足 工作压力仅达额定60,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.91,original
变频器过压报警 直流母线电压达800V,变频器过流跳闸 输出电流超额定30,0.52,original
离心泵叶轮磨损 流量下降至额定70,PLC信号丢失 传感器反馈数据无更新,0.12,original
传感器数值漂移 测量值比实际值高10,传感器量程超限 显示值固定为最大值,0.88,original
传感器量程超限 显示值固定为最大值,传感器数值漂移 测量值比实际值高10,0.43,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸动作卡顿 换向时出现滞涩现象,0.81,original
轴承磨损异响 运转时出现周期性异音,轴承间隙过大 径向游隙超0 15mm,0.52,original
液压缸压力不足 工作压力仅达额定60,液压缸动作卡顿 换向时出现滞涩现象,0.85,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵轴承发热 温度达75,0.48,original
轴承润滑脂干涸 出现干摩擦异响,轴承磨损异响 运转时出现周期性异音,0.85,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承间隙过大 径向游隙超0 15mm,0.46,original
离心泵密封泄漏 机械密封端面磨损,离心泵叶轮磨损 流量下降至额定70,0.57,original
轴承润滑脂干涸 出现干摩擦异响,轴承滚珠破损 振动频谱出现冲击峰值,0.44,original
轴承磨损异响 运转时出现周期性异音,轴承间隙过大 径向游隙超0 15mm,0.98,original
轴承温升过高 连续运行2小时后温度达80,轴承间隙过大 径向游隙超0 15mm,0.45,original
继电器接触不良 信号传输时断时续,继电器线圈烧毁 电阻值无穷大,0.81,original
离心泵密封泄漏 机械密封端面磨损,离心泵流量不足 出口管路堵塞,0.57,original
变频器散热风扇故障 散热片温度达75,变频器散热风扇故障 周期性散热片温度达75,0.74,generated
轴承滚珠破损 振动频谱出现冲击峰值,继电器线圈烧毁 电阻值无穷大,0.58,generated
继电器接触不良 信号传输时断时续,继电器线圈烧毁 电阻值无穷大,0.53,original
PLC通讯故障 与变频器的Modbus连接中断,PLC信号丢失 传感器反馈数据无更新,0.88,original
变频器过流跳闸 输出电流超额定30,变频器参数紊乱 加速时间被异常修改,0.48,original
离心泵密封泄漏 机械密封端面磨损,传感器量程超限 显示值固定为最大值,0.28,original
变频器过压报警 直流母线电压达800V,继电器接触不良 信号传输时断时续,0.06,generated
液压缸动作卡顿 换向时出现滞涩现象,液压缸活塞杆变形 伸出时出现偏斜,0.45,original
液压缸缓冲装置失效 行程末端冲击过大,PLC信号丢失 传感器反馈数据无更新,0.14,original
PLC输入输出点I0 2损坏 无信号输入,PLC输入输出点I0 2损坏 周期性无信号输入,0.86,generated
轴承磨损异响 运转时出现周期性异音,轴承润滑脂干涸 出现干摩擦异响,0.68,original
PLC通讯故障 与变频器的Modbus连接中断,传感器响应延迟 信号滞后2秒,0.23,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.67,original
PLC输入输出点I0 2损坏 无信号输入,PLC输入输出点I0 2损坏 在启动时无信号输入,0.65,generated
变频器过压报警 直流母线电压达800V,变频器频率漂移 设定50Hz实际输出45Hz,0.84,original
离心泵轴承发热 温度达75,电机轴承润滑不足导致转速异常 输出转速波动 5,0.44,generated
轴承磨损异响 运转时出现周期性异音,轴承温升过高 连续运行2小时后温度达80,0.69,original
离心泵流量不足 出口管路堵塞,离心泵叶轮磨损 流量下降至额定70,0.86,original
PLC断电记忆丢失 参数恢复至出厂默认值,PLC断电记忆丢失 参数恢复至出厂默认值,0.62,original
传感器响应延迟 信号滞后2秒,传感器无输出信号 接线端子接触不良,0.8,original
变频器过流跳闸 输出电流超额定30,继电器误动作 无输入信号时触点自行闭合,0.69,generated
电机过载停机 故障代码E012 需重启复位,电机连续运行8小时后出现异响 振动值超额定20,0.69,original
液压缸压力不足 工作压力仅达额定60,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.47,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承温升过高 连续运行2小时后温度达80,0.41,original
液压缸压力不足 工作压力仅达额定60,液压缸动作卡顿 换向时出现滞涩现象,0.82,original
传感器数值漂移 测量值比实际值高10,变频器散热风扇故障 散热片温度达75,0.08,original
传感器抗干扰差 受电磁干扰出现跳变,传感器响应延迟 信号滞后2秒,0.68,original
液压缸动作卡顿 换向时出现滞涩现象,电机负载达额定120 时出现过热 绕组温度升至105,0.27,original
电机轴承润滑不足导致转速异常 输出转速波动 5,PLC断电记忆丢失 参数恢复至出厂默认值,0.1,original
离心泵轴承发热 温度达75,离心泵空转异响 进口阀门未打开导致气蚀,0.56,original
继电器误动作 无输入信号时触点自行闭合,继电器触点烧蚀 接触电阻增大至5Ω,0.88,original
继电器线圈烧毁 电阻值无穷大,继电器触点烧蚀 接触电阻增大至5Ω,0.85,original
离心泵密封泄漏 机械密封端面磨损,离心泵密封泄漏 机械密封端面磨损,0.7,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸动作卡顿 换向时出现滞涩现象,0.61,original
PLC输入输出点I0 2损坏 无信号输入,PLC通讯故障 与变频器的Modbus连接中断,0.68,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵空转异响 进口阀门未打开导致气蚀,0.59,original
离心泵轴承发热 温度达75,离心泵叶轮磨损 流量下降至额定70,0.41,original
电机连续运行8小时后出现异响 振动值超额定20,液压缸活塞杆变形 伸出时出现偏斜,0.06,original
电机连续运行8小时后出现异响 振动值超额定20,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.9,original
继电器误动作 无输入信号时触点自行闭合,传感器无输出信号 接线端子接触不良,0.01,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承温升过高 连续运行2小时后温度达80,0.65,original
继电器接触不良 信号传输时断时续,继电器线圈烧毁 电阻值无穷大,0.54,original
继电器线圈烧毁 电阻值无穷大,液压缸动作卡顿 换向时出现滞涩现象,0.07,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.99,generated
继电器吸合不良 线圈电压正常但触点未闭合,继电器吸合不良 湿度增大后线圈电压正常但触点未闭合,0.74,generated
变频器过压报警 直流母线电压达800V,在停机时变频器过压报警 直流母线电压达800V,0.67,generated
PLC输入输出点I0 2损坏 无信号输入,PLC通讯故障 与变频器的Modbus连接中断,0.83,original
变频器过压报警 直流母线电压达800V,轴承磨损异响 运转时出现周期性异音,0.9,generated
离心泵密封泄漏 机械密封端面磨损,离心泵空转异响 进口阀门未打开导致气蚀,0.97,original
轴承温升过高 连续运行2小时后温度达80,轴承滚珠破损 振动频谱出现冲击峰值,0.63,original
电机负载达额定120 时出现过热 绕组温度升至105,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.8,original
电机过载停机 故障代码E012 需重启复位,传感器响应延迟 信号滞后2秒,0.2,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器过流跳闸 输出电流超额定30,0.54,original
电机过载停机 故障代码E012 需重启复位,传感器数值漂移 测量值比实际值高10,0.45,generated
变频器过压报警 直流母线电压达800V,离心泵流量不足 出口管路堵塞,0.85,generated
电机过载停机 故障代码E012 需重启复位,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.89,original
轴承间隙过大 径向游隙超0 15mm,电机过载停机 故障代码E012 需重启复位,0.18,original
继电器吸合不良 线圈电压正常但触点未闭合,继电器接触不良 信号传输时断时续,0.49,original
传感器响应延迟 信号滞后2秒,传感器响应延迟 信号滞后2秒,0.98,generated
液压缸活塞杆变形 伸出时出现偏斜,继电器接触不良 信号传输时断时续,0.04,original
传感器响应延迟 信号滞后2秒,传感器无输出信号 接线端子接触不良,0.4,original
继电器误动作 无输入信号时触点自行闭合,液压缸缓冲装置失效 行程末端冲击过大,0.39,generated
轴承滚珠破损 振动频谱出现冲击峰值,轴承间隙过大 径向游隙超0 15mm,0.83,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承磨损异响 运转时出现周期性异音,0.67,original
液压缸压力不足 工作压力仅达额定60,液压缸动作卡顿 换向时出现滞涩现象,0.55,original
继电器触点烧蚀 接触电阻增大至5Ω,继电器接触不良 信号传输时断时续,0.12,generated
离心泵流量不足 出口管路堵塞,继电器接触不良 信号传输时断时续,0.04,original
液压缸压力不足 工作压力仅达额定60,液压缸缓冲装置失效 行程末端冲击过大,0.66,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承润滑脂干涸 出现干摩擦异响,0.94,original
传感器无输出信号 接线端子接触不良,传感器响应延迟 信号滞后2秒,0.99,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机轴承润滑不足导致转速异常 在负载增加时输出转速波动 5,0.94,generated
液压缸动作卡顿 换向时出现滞涩现象,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.54,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC信号丢失 传感器反馈数据无更新,0.82,original
轴承温升过高 连续运行2小时后温度达80,轴承温升过高 温度升高后连续运行2小时后温度达80,0.68,generated
离心泵密封泄漏 机械密封端面磨损,离心泵流量不足 出口管路堵塞,0.57,original
变频器频率漂移 设定50Hz实际输出45Hz,离心泵叶轮磨损 流量下降至额定70,0.01,original
变频器过流跳闸 输出电流超额定30,电机连续运行8小时后出现异响 振动值超额定20,0.15,original
轴承间隙过大 径向游隙超0 15mm,传感器无输出信号 接线端子接触不良,0.26,original
PLC通讯故障 与变频器的Modbus连接中断,PLC通讯故障 与变频器的Modbus连接中断,0.95,generated
PLC通讯故障 与变频器的Modbus连接中断,电机连续运行8小时后出现异响 振动值超额定20,0.29,original
变频器过压报警 直流母线电压达800V,继电器接触不良 信号传输时断时续,0.18,original
变频器散热风扇故障 散热片温度达75,温度升高后变频器散热风扇故障 散热片温度达75,0.61,generated
PLC程序报错 梯形图逻辑错误导致误动作,PLC输入输出点I0 2损坏 无信号输入,0.59,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸缓冲装置失效 行程末端冲击过大,0.51,original
继电器接触不良 信号传输时断时续,继电器误动作 无输入信号时触点自行闭合,0.41,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器频率漂移 设定50Hz实际输出45Hz,0.43,original
离心泵密封泄漏 机械密封端面磨损,离心泵空转异响 进口阀门未打开导致气蚀,0.43,original
离心泵叶轮磨损 流量下降至额定70,离心泵空转异响 进口阀门未打开导致气蚀,0.83,original
离心泵叶轮磨损 流量下降至额定70,离心泵密封泄漏 机械密封端面磨损,0.83,original
传感器数值漂移 测量值比实际值高10,传感器数值漂移 测量值比实际值高10,0.45,original
传感器抗干扰差 受电磁干扰出现跳变,传感器无输出信号 接线端子接触不良,0.85,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC信号丢失 传感器反馈数据无更新,0.86,original
电机过载停机 故障代码E012 需重启复位,电机轴承润滑不足导致转速异常 输出转速波动 5,0.42,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机连续运行8小时后出现异响 振动值超额定20,0.53,original
PLC通讯故障 与变频器的Modbus连接中断,PLC断电记忆丢失 参数恢复至出厂默认值,0.4,original
